,layer,neuron,Original,Summary,Highlight,HighlightSummary,AVHS
842,1,3389,words related to being alone or isolated.,"instances of the word ""alone"" or phrases related to being solitary or independent.",phrases that emphasize being alone or isolated.,"words related to being singular, solo, or independent.",words related to singularity or exclusivity.
843,1,4061,"references to a specific person (""Rev. Jeremiah Wright"") and discussions about a book or written work (""The Amateur"").","the word ""to"" in various contexts and positions within a sentence.","tokens related to indicating a purpose or intended recipient, such as ""to"" or ""for"".","the preposition ""to"" used in various contexts.","the word ""to"" as part of a phrase or after a punctuation mark."
844,1,4117,punctuation marks or symbols.,"punctuation marks, specifically semicolons and commas.",punctuation marks or symbols within text.,punctuation marks such as semi-colons and commas.,"punctuation marks, specifically semicolons."
845,1,4270,references to the situation in Gaza and its associated conflicts.,"words and phrases related to the conflict and situation in Gaza, including terms like Gaza, Palestinian, supply, situation, conflict, UN, Security, uranium, Hamas, rocket, toll, border, killed, civilians.",references to the Israeli-Palestinian conflict and events related to the Gaza region.,"words related to the Israeli-Palestinian conflict, specifically focusing on the area of Gaza and associated entities such as Hamas, conflicts, supply, and toll.","references to conflict and locations related to the Israeli-Palestinian conflict, particularly the Gaza Strip."
846,1,4693,adjectives or phrases related to subtlety or delicate nuances.,words and phrases related to something delicate or subtle in nature or behavior.,words or phrases related to delicacy or subtle nuances.,"words related to subtlety, delicacy, and precision.","words associated with delicacy, subtleness, and subtle shifts or nuances."
847,1,4814,names of different cities and locations.,"words related to geographical locations, particularly cities or towns.",words related to locations or place names.,"words related to locations or places, specifically names of cities or sites within cities.","place names, specifically those ending with ""chester"", ""wich"", ""bridge"", ""borough"", ""ford"", and ""ham""."
848,1,4948,phrases related to throwing or tossing objects.,verbs related to throwing or tossing objects.,words related to throwing or tossing actions.,verbs related to throwing or tossing objects.,verbs related to throwing or launching objects.
849,1,5220,"words related to saving, preservation, and conservation.","words or phrases related to saving, whether it be related to time, data, money, or resources.","words or phrases related to saving, preservation, or conservation.","words related to saving, such as saving time, saving data or saving money.",words related to saving or time zones.
850,1,5223,words related to construction and infrastructure improvements.," words related to expanding, widening, or opening up spaces or opportunities.","words related to expansion, enlargement, or increase in size or scope.","words related to changes in size or extent, such as widening and opening.","words related to physical changes or modifications, such as opening, widening, or crossing."
851,1,5347,words related to hearing or sound-related actions.,"words related to the auditory perception, specifically focusing on hearing and sounds.",words related to auditory perception or sound.,words related to auditory perception or the act of listening.,words related to auditory perception or hearing.
852,1,5825,words related to parking or parked vehicles.,mentions or descriptions of parking or parked objects.,mentions of parking or locations where vehicles are parked.,words related to parking and the location of vehicles.,words related to parking or the act of being parked.
853,1,5977,mentions of words related to real estate or property.,"words or parts of words that contain the sequence ""asa"".",words or parts of words indicating proper names or specific locations.,"tokens that contain the letter sequence ""asa"".","words or parts of words that contain ""asa""."
854,1,6318,"words related to imbalances and balance in various contexts, such as political spending, farming distribution, channel balancing, and physical equilibrium.","words related to imbalance or balance, particularly in relation to distribution, resources, or situations.","words related to balance or imbalance, both in a literal and metaphorical sense.",words related to equilibrium or equal distribution.,words related to equilibrium or evenness.
855,2,28,information about known facts or details.,the presence or mention of information that is recognized or familiar.,tokens related to knowledge or information that is already established or acknowledged.,"the word ""known"" or variations of the word in different contexts.",words related to knowledge or familiarity with someone or something.
856,2,722,words related to mirrors and optical devices.,"words related to optical devices and phenomena, such as ""optical,"" ""laser,"" ""mirrors,"" and ""imaging."" It also detects occurrences of the word ""Cosmic"" but it seems to be a less reliable pattern.","words related to mirrors, reflections, or mirrored objects.","terms related to optics, technology, reflection, and cosmic themes.","words related to technology and objects such as ""optical,"" ""laser,"" ""mirrors,"" ""imaging,"" and ""manipulation""."
857,2,1104,words related to legal or political controversy.,"past tense verbs or adjectives ending in ""-en"" and words related to duration or time.",verbs or phrases indicating the passage of time or changes in a situation.,"past participle forms of verbs, indicating completed actions.",past tense verbs related to actions or changes.
858,2,1600,words related to personal preferences and opinions.,"instances of the word ""or"".","phrases related to options, choices, or alternatives.","the logical operator ""or"" used in sentences to present alternative options.",words related to alternative options or choices.
859,2,1708,"words or phrases related to a specific person or name, possibly ""ara"" or ""ara"" with different variations.","tokens that contain the specific subsequence ""ara"".",words or parts of words related to geographic locations or place names.,tokens related to the alphanumeric pattern 'ara' and the number '5'.,tokens that contain the sequence 'ara'.
860,2,2019,"terms related to illness, healthcare, and negative events.","words related to sickness, death, and tragedy.","words or phrases related to negative or unfortunate events, such as sickness, death, and tragic incidents.","words related to illness, injury, or death.","adjectives or nouns related to illness, injury, or death."
861,2,2437,references to objects or structures that are hanging.,words related to suspension or hanging.,tokens related to hanging or being suspended in space or time.,words or phrases related to objects or individuals being suspended or attached to something.,words related to suspension or hanging.
862,2,3167,words related to appeals or requests.,words related to making requests or appeals.,words related to making requests or appeals.,"words related to requests, appeals, or pleas.",words related to making requests or appeals.
863,2,3493,"mentions of ""fellow"" in the context of individuals or colleagues.",mentions or references to individuals who are associated with a particular group or organization.,"terms related to membership or association with a group or community, such as ""fellow"" and ""resident"".","the word ""fellow"" in the context of individuals who share a common profession or affiliation.",terms related to academic or professional titles.
864,2,3948,words related to universal attributes or features.,"the token ""universal"" in different contexts, potentially indicating a focus on universality or broad applicability.","references to the word ""universal"" and its usage in various contexts.",tokens related to the concept of universality or something that applies or is relevant to all.,terms related to universality or something that is applicable or available to everyone or a wide range of situations.
865,2,4094,words related to membership and financial support.,"tokens related to belonging to a group or organization, typically involving some type of fee or subscription.","words related to membership and belonging, particularly in organizations or groups.","words related to membership in organizations or groups, such as membership fees or joining a party.",references to membership or being a member of a group or organization.
866,2,4595,information related to marathons and running.,"tokens related to the activity of running marathons, including words like 'runners', 'marathon', 'race', and 'time'.","words and phrases related to marathons, such as ""runners,"" ""marathon,"" ""race,"" and ""running times.""","terms related to running marathons, such as ""runners,"" ""marathon,"" ""elite,"" ""running,"" ""times,"" ""faster,"" ""record,"" and ""fastest.""",words related to marathon running.
867,2,4855,references to personal experiences or preferences.,"references to possessive pronouns ""its"" and ""it"" in the context of various subjects or objects.",pronouns or possessive determiners.,"words or phrases related to possession, ownership, or belonging.",pronouns referring to an object or subject previously mentioned.
868,2,5554,mentions of political figures or government actions.,"tokens related to political figures, government institutions, and national entities in the context of news articles and discussions.",names of political figures and locations.,names of political figures and locations within the context of Australian politics.,names of countries and political figures.
869,2,5878,"verbs related to physical actions, especially jumping.",words related to physical actions of jumping or leaping.,"words related to physical movements or actions, specifically jumping.","words related to physical movement or action, particularly jumping or leaping.",words related to physical actions involving jumping.
870,2,6186,"words related to sports, specifically actions related to forward movements or positions.","words related to movement or direction, particularly in the forward direction.","words related to sports positions or actions, specifically related to forwards in this case.","words related to movement or direction, specifically forward.","references to sports players or positions, particularly ""forwards""."
871,3,47,terms related to simulation and data analysis.,words related to simulation or simplification.,words or phrases related to geography or spatial coordinates.,"terms related to simulation, simplification, and analysis.","tokens related to the word ""simulation"" or ""simplify""."
872,3,642,words related to lying or falsehood.,words related to position or action of lying down or being deceptive.,words related to lying or being in a prone position.,words related to the action of lying or being in a horizontal position.,words related to lying or being in a prone position.
873,3,1500,keywords related to the artist Taylor Swift.,"mentions or references to the word ""Swift"" either as a name or in the context of speed.","tokens related to the name ""Swift.""","tokens related to the word ""Swift"", which could potentially refer to Taylor Swift or the Swift programming language.","mentions of the word ""Swift"" related to a person or software."
874,3,2032,words related to sharpness or intensity.,"words related to sharpness or intensity, such as ""steep,"" ""sharp,"" and ""razor sharp.""",adjectives related to steepness or intensity.,"words related to sharpness, intensity, or steepness.","words related to sharpness or intensity, both in a literal and figurative sense."
875,3,2661,words or phrases related to financial goals and ideals.,"instances of the word ""ideally"" and related terms that express an ideal or desirable state.",words related to ideal or preferred situations/goals.,adverbs that express an ideal or desired state or condition., adverbs emphasizing an ideal or preferred state.
876,3,3389,words related to football positions and actions.,"words related to names and positions, particularly the name ""Carson"" and the concept of ""slot"".","proper names or nouns, particularly those related to individuals or specific entities.",proper names or terms related to specific individuals or positions.,"mentions of specific names or terms, such as people's names or specific locations."
877,3,3915,words related to scarcity or limited amounts.,words related to scarcity or insufficiency.,words or phrases related to scarcity or sparsity.,words or phrases related to scarcity or a lack of something.,words related to scarcity or insufficiency.
878,3,4995,words related to age and demographics.,keywords related to young individuals or adolescents.,"words related to age, specifically youth or juvenile individuals.",words or phrases related to young individuals or age categories.,"words related to age and gender, particularly in the context of youth."
879,3,5457,words related to randomness or randomization.,words related to randomness or randomization in research or experimentation.,"words related to randomness and randomization in various contexts, such as random numbers, randomized trials, or randomly assigned groups.","tokens related to randomness, randomization, and/or randomized experiments in various contexts such as surveys, experiments, and analysis.",words related to randomization and experimental methods.
880,3,5920,"words or patterns related to the word ""itter"" or similar variations.","words containing the substring ""itter"".",words or tokens related to caregiving or taking care of someone/something.,"words containing the substring ""itter"".",words or word fragments ending in 'itter'.
881,4,640,references to natural gas and related operations or equipment.,"words related to gas, including its usage, properties, and associations such as natural gas, symptoms like bloating and gas, flurocarbon turning into a gas, o-ring sealed, and battery-powered cars.",terms related to gases or gas-related activities.,"words related to gas, usage, and operations.","tokens related to gas, including words like 'natural gas', 'flurocarbon', and 'gas-powered'."
882,4,1590,words or phrases related to substitute or substitution.,"the token ""substitute"" or variations of it.",words related to substitution or replacement.,words related to replacement or substitution.,mentions of substitutes or substitutions in various contexts.
883,4,1923,words or phrases related to fire incidents or accidents.,"words related to surnames or place names ending in ""ire"".",words related to individuals and their names.,"words or parts of words related to ""fire"" or ""spire"".","words ending in ""-ire"" or ""-ires""."
884,4,2574,terms related to virtual reality (VR) technology and its features.,"tokens related to virtual reality (VR) technology, such as ""VR,"" ""ready,"" and ""Daydream.""",mentions of virtual reality (VR) technology and related terms.,terms related to virtual reality (VR) technology and its compatibility or readiness.,words and abbreviations related to virtual reality (VR) technology and its features.
885,4,3465,words related to legacy systems and data migration.,references to the concept of legacy or historical significance.,"references to ""legacy"" or something being passed down from a previous generation or system.","terms related to the concept of ""legacy"" or something that has been passed down or carried over from a previous generation or system.","words related to the concept of ""legacy""."
886,4,3616,"phrases related to eligibility for certain deductions, credits, and exemptions in tax and insurance contexts.","tokens related to eligibility, such as ""eligible,"" ""eligibility,"" and ""apply,"" particularly in contexts related to taxes, healthcare, and employment.",words related to eligibility criteria or qualifications.,"words related to eligibility criteria, deductions, exemptions, and credits.","words or phrases related to eligibility for various deductions, tax credits, benefits, or programs."
887,4,4239,words related to rapidity or speed.,"words related to speed, quickness or rapidity.","words or phrases related to speed, rapidity, or quickness.","words related to speed, quickness, and rapidity.",words related to speed and rapidity.
888,4,5411,words related to potential or possibilities.,words related to the possibility of something happening or the capability of something.,words related to possibility or potential.,words related to possibilities or likelihood.,words related to potential or possibility.
889,4,5587,"words related to interpretation, understanding, and meaning.","words related to understanding, interpretation, and meaning.","words related to meaning, interpretation, understanding, and comprehension.","words related to meaning, understanding, interpretation, and meaningful discussions.","words related to understanding, interpretation, and meaning."
890,4,6321,"references to computer hardware and components, specifically mentioning viability, compatibility, and the use of GPUs.",words related to death or termination.,references to death or cessation of activity.,words related to mortality or termination.,references to the end of life or termination.
891,5,1194,information or data related to personal belongings or items that may hold significance or clues to a person's identity or whereabouts.,"references to the contents of something, such as the contents of a wallet or the contents of a bag.",words or phrases related to the contents or items present in a certain context or object.,"the word ""contents"" in various contexts.",tokens related to the contents or items within something.
892,5,1361,"words related to specific terms or phrases, such as ""term"" or ""admitted"".",words related to the concept of duration or time.,"words related to time or duration, specifically words indicating a long-term or extended period.",words related to time or duration.,"words or phrases related to the concept of time, specifically focusing on terms like ""long-term"" and ""term""."
893,5,2584,years or dates.,years or dates.,years or date ranges enclosed in square brackets.,years or date ranges in square brackets.,years or date ranges indicated in square brackets.
894,5,3087,names of sports teams.,sports teams and related terms.,names of sports teams.,names of sports teams or players.,names of sports teams.
895,5,4070,"words related to gasoline, fuel, and petroleum products.","references to fuel and energy-related terms, specifically gasoline and diesel.","words related to fuel and energy sources, such as gasoline, diesel, petrol, and gas.","words related to energy sources and fuels, particularly gasoline and petroleum.","terms related to fuel and fuel-related activities, such as gasoline, diesel, refining, blending, petrol, and gas."
896,5,5269,"phrases related to food, hunger, and eating.","words related to food, eating, and hunger.",words related to food or eating.,words related to food consumption and containers.,words related to food and eating.
897,5,5732,words related to sports and competitions.,"words related to sports, commentary, and evaluation/assessment.","words related to sports, specifically referring to umpires, commentators, judgments, and mediation in sports-related contexts.","words related to sports commentary and decision-making processes, such as umpires, judges, decisions, judgments, buzzed out, and commentators.",words related to sports commentary and legal proceedings.
898,6,437,words related to anniversaries and celebrations.,"words related to significant events or milestones, such as anniversaries or centenaries, and words related to celebration or recognition.",phrases or words related to anniversaries or special events.,"words related to time, milestones, and special events such as anniversaries and celebrations.","words related to special celebrations or events, such as anniversaries or centenaries."
899,6,1026,"words related to specific terms or concepts such as: 'ular', 'Cl', 'incorrect', 'accommodate', 'number', and 'Sec'.",words or parts of words related to the structure or form of something.,words or phrases related to circular shapes or forms.,"words or suffixes related to shape, form, or structure.","words or parts of words related to the term ""circular"" or containing ""ular""."
900,6,1296,words related to military operations and deployments.,tokens related to military personnel or deployments.,terms related to military and warfare.,mentions of military troops or units.,mentions of military troops.
901,6,1671,informal expressions or casual remarks.,words or phrases indicating uncertainty or contradicting information.,"adverbs that indicate uncertainty or disbelief such as ""apparently"" or ""noticed"".","words or phrases that suggest something inferred or assumed, such as ""apparently"" or ""noticed"".","the use of the word ""apparently"" in a sentence."
902,6,2577,terms related to political and economic interest rates.,words related to financial and political interests.,words related to political and financial interests.,"words related to political affairs, policies, and financial interests.","terms related to financial and economic interests, such as ""interest,"" ""rate,"" and ""policy."""
903,6,3240,words and phrases related to close personal relationships or emotional connections.,words related to personal connections or close relationships.,words or phrases related to personal or emotional connection.,words or phrases related to close personal relationships or experiences.,words related to personal relationships or closeness.
904,6,5747,keywords related to XML or programming code.,tokens related to XML and programming languages.,tokens related to the XML format or tags.,words related to XML and programming.,"tokens related to the XML format, such as the word ""xml"" itself and other XML-related terms."
905,7,2174,words related to fashion and styling advice.,"words related to enhancing, matching, or completing something.","words related to enhancing, matching, or completing something.","words related to enhancing, matching, or completing something, whether it be in terms of appearance, skills, or services.",words related to complimenting or enhancing something.
906,7,4365,names of people and organizations.,names or surnames of people.,proper names or words related to people's names and titles.,names or surnames.,"people's names, both surnames and full names."
907,7,4568,keywords related to rewards points and earning or redeeming them.,"references to rewards or incentives in the form of points, potentially associated with purchases or activities.",references to rewards or points systems.,words related to a point-based rewards or credit system.,mentions or references to a points-based reward system.
908,7,5809,words related to problem-solving or conflict resolution.,words related to problem-solving and the resolution of issues.,words related to problem-solving or resolving issues.,words related to problem-solving and finding solutions.,words related to problems and their solutions.
909,8,1285,"words related to insects, specifically flies.","words related to insects, specifically flies.","words related to insects, specifically flies.","words related to flies, specifically referring to insects rather than the action of flying.","mentions of flies, particularly in the context of animals or insects."
910,8,5365,words related to addressing or discussing specific issues or allegations.,words related to addressing or dealing with issues or challenges.,actions or discussions related to addressing or dealing with various issues or problems.,"words related to addressing or dealing with issues or challenges, either in a literal or metaphorical sense.",words related to addressing and dealing with issues or challenges.
911,9,1762,"words related to a specific person, ""Dominic Cooper"".","references to specific names or surnames, particularly the name ""Cooper"".","proper nouns, specifically names of people.","proper names, particularly the surname ""Cooper"".",names of individuals.
912,10,3079,references to quick actions or choices.,words or phrases related to speed or efficiency.,words related to speed or quickness.,"words or phrases related to speed, efficiency, or immediacy.",adjectives related to speed or efficiency.
913,11,4604,words related to gender and women's issues.,words related to gender and female representation.,words related to gender and specifically focuses on references to women.,words related to gender and specifically focuses on women and females.,"references to gender, specifically highlighting the presence of women and the global or social impact of their role."
914,13,4455,words related to revealing information or uncovering hidden knowledge.,"words related to revealing, disclosing, or making something known.",words related to revealing or disclosing information.,actions related to revealing or disclosing information or locations.,words related to revealing or disclosing information.
915,13,5397,words related to numerical values or measurements.,adverbs that modify or emphasize the intensity or certainty of an action or situation.,words or phrases that convey emphasis or importance.,adverbs that modify or emphasize an action or quality.,adverbs that modify or emphasize the following word.
916,14,55,cities and locations.,city or location names.,city names or locations.,city names.,names of cities or locations.
917,15,4895,"keywords related to programming and coding, such as HTML markup, options, spells, and casts.",references to subsequent items or content.,phrases or contexts that indicate a continuation or continuation of information.,phrases or words related to providing or referring to information or instructions in a sequential or ordered manner.,phrases indicating a sequence or order.
918,18,1152,"words related to financial matters, specifically gross salary and expenses.","words related to money, finances, and numerical values.","instances where the word ""gross"" is used, which could be related to financial matters, measurements, or negative descriptions.","words related to finance, such as expenses, gross, salary, and purchasing power parities.",adjectives related to negative qualities or states.
919,18,3255,"mentions or references to Taco-related content, such as taco trucks and Taco Bowls.","words related to food items, specifically tacos, and also references to social events or gatherings such as festivals or bowl games.","references to food items, specifically tacos.","references to food items, specifically the word ""Taco"" and the word ""Bowl"".","references to food items or dishes, specifically tacos."
920,18,6042,"words related to political actions and outcomes, such as influencing, blocking, and defeating efforts or being successful.","words related to success, victory, and overcoming obstacles.","words related to opposition, resistance, and overcoming challenges.","words related to opposition, resistance, or overcoming obstacles.",passages related to overcoming obstacles or challenges.
921,19,2421,"words related to destruction, damage, loss, and controversy.","words related to harm, damage, or negative impact.",words related to destruction or negative impact.,"words related to destruction, damage, and negative impact.","words related to damage, destruction, and negative impact."
922,20,1678,words related to news and updates.,"words related to information, updates, and announcements.",words related to news or information.,words related to news or information updates.,words related to news and information.
923,20,6321,words related to physical exertion and resistance training.,"terms related to the intensity or level of performance or activity, particularly in the context of sports, computer hardware, and physical exertion.","tokens related to ""load"" or ""overload"" in various contexts, such as load in sports training, load in computing, or load in terms of traffic or usage.","tokens related to the concept of ""load"" or ""heavy workload"", which can refer to physical exertion, data traffic, or electrical power demands.",terms related to the amount or intensity of weight or workload.
924,22,282,"words related to relief, assistance, and helping others in difficult situations.","words related to relief, assistance, and support.","words related to assistance, support, and help.","words related to assistance, support, and comfort in various contexts.","words related to assistance, support, and relief efforts."
925,22,2689,information related to political advertising and campaign spending.,words and phrases related to political advertising.,words related to political campaigns and advertisement.,terms related to political advertising and campaign spending.,terms related to advertising and political campaigns.
926,23,495,words and phrases related to government regulation and compliance.,words related to regulation and government oversight.,"words related to regulation, control, rules, and authorities.",words related to regulatory bodies and government involvement.,"words related to regulation, oversight, and governance."
927,23,2641,names or mentions of individuals or specific events.,words related to approval or agreement in a legal or legislative context.,words related to the approval or consent of something.,words related to approval or agreement.,words related to the approval or consent of something.
928,24,3135,words related to consent and communication methods.,"words and phrases related to consent, particularly in the context of legal and communication matters.",words related to seeking or giving permission or approval.,"terms related to permissions, agreements, and communication, particularly in the context of consent and contact.","words related to legal and regulatory matters, particularly consent and contact."
929,24,6033,words related to mental health issues and discussions.,words or phrases related to the current state or condition.,words or phrases related to the current state or condition of something.,words related to the current state or condition of something.,words related to the current state or status of something.
930,27,3910,words related to heroic and epic tales or stories.,"words related to grand narrative, significant events, or notable accomplishments.","words related to grand, significant, or extraordinary events or concepts, such as heroism, epic tales, epicenters, and significant cities.","words related to grand, heroic, and significant events or stories.",words related to grand and significant events or stories.
931,28,4551,mentions or references to hosting or being a host.,"words related to hosting, hosting services, or entities that provide a platform or environment for something else to occur.",words or phrases related to hosting or being a host.,words related to hosting or being a host.,"words related to hosting or being a host, such as ""can"", ""features"", and ""host""."
932,36,2025,"names of people, specifically the surname ""Davis"".","references to individuals with the last name ""Davis"".","proper nouns or names, often related to people.","the surname ""Davis"".",names or specific terms related to individuals or characters.
933,0,126,"words and phrases related to attitudes, politics, and tactics in communication and leadership.","words related to attitudes, opinions, and strategies.","words or phrases related to opinions, attitudes, or perspectives.","words related to attitudes, perspectives, views, and approaches towards different matters, such as judgment, mercy, tactics, and attitudes.","tokens related to opinions, attitudes, and political figures."
934,0,381,references to numerical values and statistics.,numeric references and punctuation marks.,references to numerical information or references to specific sections within a text.,numeric references or indices within brackets in a text.,references to citations or references within a text.
935,0,646,words related to specific geographical locations or regions.,transition words and phrases that indicate logical connections and supporting statements.,phrases that indicate continuation or addition of information.,words indicating a continuation or addition of information or ideas.,transitional phrases or words used to provide additional information or connect ideas.
936,0,887,phrases related to fatigue or exhaustion.,words related to fatigue or exhaustion.,adjectives or verbs related to exhaustion or fatigue.,"words related to physical and mental states, particularly fatigue, tiredness, and consciousness.","adjectives related to personal states or conditions, such as tiredness or consciousness."
937,0,1750,words related to city departments and physical components of the body.,words related to cities and physical entities such as bodies or objects.,"words related to locations (cities, offices, bodies, etc.).","words related to locations or entities like cities, offices, and bodies.",words related to city and various departments/organizations within a city.
938,0,2021,"references to political positions or directions, specifically the mention of being ""left"" or ""right"" in a political context.","references to the direction or concept of ""left"".","words related to the direction ""left"".","directional indicators, specifically the word ""left"".","words associated with directional indicators, particularly the word ""left""."
939,0,2575,possessive pronouns relating to personal experiences or belongings.,"possessive pronouns (e.g. my, our, your).",phrases or tokens related to possession or ownership.,"possessive pronouns, specifically ""my,"" ""our,"" and ""your.""",pronouns indicating possession or ownership.
940,0,3032,"mentions related to professional wrestling, including WWE Superstars and their ring attire and entrances.","words related to clothing, attire, and appearance.",mentions of clothing or attire.,"words related to attire or appearance, especially in contexts like clothing, dressing up, and physical presentation.","tokens related to clothing, appearance, and attire."
941,0,3662,words related to overlapping or connections between different entities or concepts.,"words or parts of words ending in ""aps"" or ""apped"".","words related to overlaps, collisions, or intersections.","words related to overlaps, connections, or intersections between different things or concepts.",words related to overlapping or intersecting.
942,0,4214,words related to seniority or higher positions of authority.,"words or phrases related to hierarchical levels or positions, particularly those indicating higher levels of authority or experience.","words related to hierarchy or ranking, specifically referring to seniority or higher positions.","words related to hierarchical positions or levels of experience, particularly in the context of individuals within a group or organization.","terms related to hierarchical positions or levels of experience, particularly in the context of job titles or educational levels."
943,0,4441,"words related to computer programming, operating systems, and software tools.",words and phrases related to variety or range.,adjectives that describe a wide or broad range or variety of something.,"words that indicate breadth, variety, or range.",words related to width or variety.
944,0,4815,words or phrases related to warnings or cautionary advice.,phrases related to caution or warning.,warnings or cautionary statements.,words or phrases related to caution or warning.,words or phrases related to caution and warning.
945,0,5039,"words related to success, dominance, or advantageous positions.","words related to success, leadership, and influence in different contexts including sports, politics, and environmental commitments.",words related to achievement or success.,"words related to success, achievement, or leadership.",words related to achievements or instances of success.
946,0,5270,"terms related to legal and financial aspects such as collateral, evidence, target, proof, and backdrop.","terms related to legal and evidentiary concepts, such as collateral, evidence, and proof.",words related to supporting claims or providing evidence.,words related to providing evidence or supporting claims.,"words related to legal or factual information, such as ""collateral,"" ""evidence,"" ""target,"" and ""proof."""
947,0,5621,past tense verbs ending in 'ed'.,conditional statements and expressions.,phrases related to hypothetical or unreal situations.,"conditional statements using the word ""if"" and comparisons using the word ""were"".","the hypothetical use of the verb ""were"" in various contexts."
948,0,6276,"references to surveillance and intercepted communication data, including cell phone calls, emails, and communications in general.","words related to electronic communications and technology, such as phones, calls, emails, and tweets.","words or tokens related to communication methods, such as ""phone calls,"" ""emails,"" ""communications,"" and ""tweets.""","words related to various forms of communication, such as phone calls, emails, and social media posts.","words related to communication methods, such as phones, emails, and tweets."
949,1,220,"mentions of the word ""bet"".",phrases related to certainty or confidence.,"words related to speculation, prediction, or likelihood.",words related to placing bets or predictions.,phrases related to placing bets or making predictions.
950,1,309,phrases related to truth or true events.,words or phrases that convey authenticity or truthfulness.,words or phrases related to reality or truth.,adjectives or phrases that convey authenticity or truthfulness.,words that indicate truth or reality.
951,1,470,words related to legal proceedings and monetary transactions.,words related to financial transactions or legal charges.,"words related to financial transactions, specifically the action of charging fees or costs.","verbs related to the act of charging, usually in a financial or legal context.","words related to legal matters, specifically related to charging fees or filing charges."
952,1,661,words related to persistent issues or conditions.,"words related to persistence, longevity, and continuity.",words related to persistence or long-lasting effects.,"words related to duration, continuity, and persistence.",words related to persistence or long-term existence of something.
953,1,829,verbs related to competition and drawing attention.,"words related to actions or events involving selection or inclusion, such as inviting, drawing, or being included.","verbs related to taking or attracting something, such as draw, invite, and attract.",words related to attracting or involving someone/something.,"words related to competition, such as ""competing"", ""spots"", and ""drawn"", in various contexts."
954,1,1068,words or phrases related to immigration policies and political statements regarding immigration.,pronouns or noun phrases referring to something previously mentioned in the text.,pronouns or phrases referring to an object or idea mentioned earlier in the text.,"pronouns, specifically the pronoun ""it"".","pronouns, specifically the pronoun ""it""."
955,1,1379,mentions or references to iTunes and other digital platforms for downloading or viewing content.,"mentions or references to various platforms and services, specifically related to music or media consumption.","mentions of digital platforms or services, particularly related to apps and online stores.","tokens related to digital platforms and services, particularly iTunes and Google Play.","tokens related to online platforms, specifically iTunes and possibly other platforms where content can be viewed or accessed, such as a reading app or website."
956,1,1553,"words and phrases related to allocation, housing, and given opportunities.","instances where some form of allocation, assignment, or gift is being given or offered.",instances where something is given or allocated to someone/something.,"words related to allocation, designation, and giving of something.","phrases related to allocation, distribution, and labeling."
957,1,1602,words related to associations and relationships between people or things.,"words related to connections or relationships, specifically the notion of being associated with someone or something.",words related to associations or connections with individuals or groups.,words related to connections or relationships between people or entities.,"words or phrases related to connections, relationships, or associations between things or people."
958,1,1880,words and phrases related to sides or edges of objects.,"occurrences of the word ""side"" in different contexts.",words related to spatial location or position.,words related to spatial positioning or location.,"words related to spatial relationships and directions, such as ""on,"" ""side,"" ""off,"" and ""toward."""
959,1,2057,"words related to sports events, particularly the final or decisive moments.",words or phrases related to the last or concluding part of something.,words related to the end or conclusion of something.,words or phrases related to the last or ultimate stage of something.,words related to the concept of finality or completion.
960,1,2237,"phrases related to competition, sports, and events.",tokens related to addition and combination.,"words related to addition, combination, or joining.","words or phrases related to the accumulation or combination of things, or the inclusion of additional elements or information.",words related to combining or adding different elements or factors.
961,1,2277,"words related to the concept of ""almost"" or ""nearly.""","the word ""almost"" in various contexts and sentences.","words related to quantity or degree, such as ""almost"" and ""entirely"".",words or phrases indicating a high degree of approximation or inclusiveness.,adjectives and phrases expressing an almost complete or high degree.
962,1,2367,"references to time, such as seasons, running out of time, and train schedules.","words related to movement, specifically running or being in motion.","words related to movement or progress, particularly in the context of time running out or something coming to an end.","words or phrases related to movement, specifically running, fast, and train-related terms.","words related to the passage of time, such as seasons, running out, fast, quickly, and train schedules."
963,1,2432,phrases related to changes or fluctuations in a situation or status.,phrases related to direction or increase.,phrases related to movement or change.,phrasal verbs related to upward or increasing movement or change.,"conjunctions and prepositions, particularly the word ""and"" and the word ""up""."
964,1,2581,words related to contribution or causation.,verbs related to contributing or causing an effect or impact on something.,words related to contributing or causing something.,verbs related to contributing or influencing something.,verbs related to contributing or causing something.
965,1,2657,words related to benefits or advantages.,words related to advantages or positive outcomes.,words related to receiving benefits or advantages.,words related to gaining or receiving benefits.,words related to receiving benefits or gains from something.
966,1,2735,"words related to financial and political topics, particularly discussions about agreements, negotiations, and monetary amounts.",punctuation marks (specifically periods) occurring at the end of sentences.,phrases or sentences that indicate contrast or opposition.,"sentences that end with punctuation marks, particularly periods.","sentences or phrases that end with periods (.), often associated with the completion of a thought or statement."
967,1,3540,mentions or references of a male possessive pronoun 'his'.,"possessive pronouns indicating ownership or relationship, specifically ""his"".","possessive pronouns ('his', 'his', 'his', 'his', 'his') indicating ownership or association with someone or something.","pronouns related to possessive markers, specifically ""his"".",possessive pronouns and associated possessive nouns.
968,1,3744,words related to unintended or accidental events or actions.,words related to unintentional actions or consequences.,words and phrases related to unintentional or accidental actions or consequences.,adjectives or adverbs related to actions or events that are unplanned or accidental.,words or phrases related to unintended or accidental actions or outcomes.
969,1,3990,words related to criminal activities and potentially disturbing content.,"words ending with the letters ""ts"".",words or parts of words related to small or fragmented objects or concepts.,"words ending in ""ts"" which are used in a variety of contexts such as proper nouns, acronyms, or indicating plurals.","words ending in 'ts' and related to topics such as abuse, pornography, social disparities, security threats, and physics."
